0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
-0.0,-0.0,-0.0,-0.0,-0.0,-1e-06,-3e-06,-8e-06,-2e-05,-5.1e-05,-0.000118,-0.000258,-0.000538,-0.001065,-0.002013,-0.003639,-0.006303,-0.01048,-0.016753,-0.025783,-0.038242,-0.054722,-0.075609,-0.100949,-0.130325,-0.162776,-0.196787,-0.230364,-0.261208,-0.28696,-0.305493,-0.315193,-0.315193,-0.305493,-0.28696,-0.261208,-0.230364,-0.196787,-0.162776,-0.130325,-0.100949,-0.075609,-0.054722,-0.038242,-0.025783,-0.016753,-0.01048,-0.006303,-0.003639,-0.002013,-0.001065,-0.000538,-0.000258,-0.000118,-5.1e-05,-2e-05,-8e-06,-3e-06,-1e-06,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,-0.0,-2e-06,-6e-06,-1.7e-05,-4.8e-05,-0.000121,-0.000287,-0.000638,-0.001335,-0.002643,-0.004966,-0.008878,-0.015129,-0.024616,-0.03829,-0.056989,-0.081208,-0.110814,-0.144781,-0.180992,-0.216213,-0.246291,-0.266602,-0.272721,-0.261208,-0.230364,-0.180768,-0.115465,-0.039711,0.039711,0.115465,0.180768,0.230364,0.261208,0.272721,0.266602,0.246291,0.216213,0.180992,0.144781,0.110814,0.081208,0.056989,0.03829,0.024616,0.015129,0.008878,0.004966,0.002643,0.001335,0.000638,0.000287,0.000121,4.8e-05,1.7e-05,6e-06,2e-06,0.0,0.0,0.0,0.0
-0.0,-0.0,-1e-06,-2e-06,-9e-06,-2.7e-05,-7.8e-05,-0.000205,-0.000498,-0.001124,-0.002379,-0.00473,-0.008873,-0.015742,-0.026469,-0.042241,-0.064036,-0.092247,-0.126238,-0.163939,-0.201624,-0.234031,-0.254924,-0.258126,-0.23887,-0.195216,-0.129135,-0.046914,0.041375,0.123374,0.186644,0.221099,0.221099,0.186644,0.123374,0.041375,-0.046914,-0.129135,-0.195216,-0.23887,-0.258126,-0.254924,-0.234031,-0.201624,-0.163939,-0.126238,-0.092247,-0.064036,-0.042241,-0.026469,-0.015742,-0.008873,-0.00473,-0.002379,-0.001124,-0.000498,-0.000205,-7.8e-05,-2.7e-05,-9e-06,-2e-06,-1e-06,-0.0,-0.0
-0.0,-0.0,-2e-06,-1e-05,-3.3e-05,-0.000101,-0.000279,-0.000703,-0.001629,-0.003504,-0.007036,-0.013237,-0.023404,-0.038968,-0.061175,-0.090591,-0.126481,-0.166235,-0.205047,-0.236121,-0.251585,-0.244123,-0.209061,-0.146402,-0.062129,0.031857,0.119488,0.183805,0.211036,0.194402,0.136438,0.049032,-0.049032,-0.136438,-0.194402,-0.211036,-0.183805,-0.119488,-0.031857,0.062129,0.146402,0.209061,0.244123,0.251585,0.236121,0.205047,0.166235,0.126481,0.090591,0.061175,0.038968,0.023404,0.013237,0.007036,0.003504,0.001629,0.000703,0.000279,0.000101,3.3e-05,1e-05,2e-06,0.0,0.0
-0.0,-2e-06,-9e-06,-3.3e-05,-0.00011,-0.000323,-0.000852,-0.002044,-0.004507,-0.009197,-0.017452,-0.030903,-0.051171,-0.079323,-0.115096,-0.156085,-0.197177,-0.230632,-0.247132,-0.237885,-0.197454,-0.126561,-0.033798,0.064745,0.148428,0.197197,0.197604,0.147747,0.059228,-0.044989,-0.136559,-0.189902,-0.189902,-0.136559,-0.044989,0.059228,0.147747,0.197604,0.197197,0.148428,0.064745,-0.033798,-0.126561,-0.197454,-0.237885,-0.247132,-0.230632,-0.197177,-0.156085,-0.115096,-0.079323,-0.051171,-0.030903,-0.017452,-0.009197,-0.004507,-0.002044,-0.000852,-0.000323,-0.00011,-3.3e-05,-9e-06,-2e-06,-0.0
-1e-06,-6e-06,-2.7e-05,-0.000101,-0.000323,-0.000907,-0.002278,-0.005197,-0.010864,-0.020935,-0.037346,-0.061828,-0.095083,-0.135731,-0.179362,-0.218182,-0.2418,-0.239469,-0.203544,-0.13328,-0.037489,0.065451,0.151179,0.196134,0.185666,0.120523,0.018779,-0.088368,-0.166211,-0.188442,-0.146916,-0.055283,0.055283,0.146916,0.188442,0.166211,0.088368,-0.018779,-0.120523,-0.185666,-0.196134,-0.151179,-0.065451,0.037489,0.13328,0.203544,0.239469,0.2418,0.218182,0.179362,0.135731,0.095083,0.061828,0.037346,0.020935,0.010864,0.005197,0.002278,0.000907,0.000323,0.000101,2.7e-05,6e-06,1e-06
-3e-06,-1.7e-05,-7.8e-05,-0.000279,-0.000852,-0.002278,-0.005443,-0.011769,-0.023221,-0.042033,-0.070016,-0.107436,-0.151668,-0.196177,-0.230549,-0.242251,-0.220275,-0.159925,-0.067064,0.040409,0.135576,0.190205,0.185095,0.119125,0.012633,-0.097572,-0.170862,-0.178665,-0.1169,-0.009086,0.102104,0.17188,0.17188,0.102104,-0.009086,-0.1169,-0.178665,-0.170862,-0.097572,0.012633,0.119125,0.185095,0.190205,0.135576,0.040409,-0.067064,-0.159925,-0.220275,-0.242251,-0.230549,-0.196177,-0.151668,-0.107436,-0.070016,-0.042033,-0.023221,-0.011769,-0.005443,-0.002278,-0.000852,-0.000279,-7.8e-05,-1.7e-05,-3e-06
-8e-06,-4.8e-05,-0.000205,-0.000703,-0.002044,-0.005197,-0.011769,-0.024016,-0.044492,-0.075141,-0.115846,-0.162778,-0.207325,-0.236622,-0.236458,-0.196454,-0.116035,-0.008541,0.099441,0.175045,0.191119,0.13884,0.034874,-0.081788,-0.163909,-0.176058,-0.11163,0.002027,0.114259,0.173713,0.15254,0.060233,-0.060233,-0.15254,-0.173713,-0.114259,-0.002027,0.11163,0.176058,0.163909,0.081788,-0.034874,-0.13884,-0.191119,-0.175045,-0.099441,0.008541,0.116035,0.196454,0.236458,0.236622,0.207325,0.162778,0.115846,0.075141,0.044492,0.024016,0.011769,0.005197,0.002044,0.000703,0.000205,4.8e-05,8e-06
-2e-05,-0.000121,-0.000498,-0.001629,-0.004507,-0.010864,-0.023221,-0.044492,-0.076882,-0.120086,-0.169271,-0.213921,-0.238878,-0.228497,-0.173431,-0.077673,0.037934,0.139224,0.190141,0.168617,0.079732,-0.041751,-0.143375,-0.178112,-0.128081,-0.016052,0.103234,0.169473,0.14811,0.049611,-0.074738,-0.159363,-0.159363,-0.074738,0.049611,0.14811,0.169473,0.103234,-0.016052,-0.128081,-0.178112,-0.143375,-0.041751,0.079732,0.168617,0.190141,0.139224,0.037934,-0.077673,-0.173431,-0.228497,-0.238878,-0.213921,-0.169271,-0.120086,-0.076882,-0.044492,-0.023221,-0.010864,-0.004507,-0.001629,-0.000498,-0.000121,-2e-05
-5.1e-05,-0.000287,-0.001124,-0.003504,-0.009197,-0.020935,-0.042033,-0.075141,-0.120086,-0.171401,-0.216943,-0.239359,-0.221498,-0.154889,-0.047877,0.071688,0.163243,0.189598,0.136145,0.022942,-0.099395,-0.171492,-0.155617,-0.058286,0.069581,0.158112,0.157238,0.066627,-0.0621,-0.154111,-0.155196,-0.064465,0.064465,0.155196,0.154111,0.0621,-0.066627,-0.157238,-0.158112,-0.069581,0.058286,0.155617,0.171492,0.099395,-0.022942,-0.136145,-0.189598,-0.163243,-0.071688,0.047877,0.154889,0.221498,0.239359,0.216943,0.171401,0.120086,0.075141,0.042033,0.020935,0.009197,0.003504,0.001124,0.000287,5.1e-05
