iter	Passed	Remaining
0	7	1531
1	14	1387
2	20	1329
3	26	1294
4	32	1267
5	39	1282
6	45	1262
7	52	1251
8	58	1236
9	64	1226
10	70	1217
11	77	1213
12	83	1205
13	89	1194
14	96	1184
15	102	1177
16	108	1171
17	114	1161
18	120	1151
19	127	1144
20	133	1137
21	139	1128
22	145	1120
23	151	1111
24	157	1102
25	163	1095
26	169	1087
27	176	1081
28	182	1073
29	188	1066
30	194	1061
31	200	1054
32	206	1046
33	213	1042
34	219	1035
35	225	1028
36	231	1021
37	238	1016
38	244	1011
39	251	1006
40	258	1003
41	264	996
42	270	989
43	277	982
44	283	975
45	289	969
46	295	963
47	302	956
48	308	950
49	314	944
50	320	937
51	326	930
52	333	924
53	339	917
54	345	911
55	351	904
56	357	897
57	363	890
58	369	884
59	376	878
60	382	871
61	388	865
62	394	858
63	401	852
64	407	846
65	413	839
66	419	833
67	425	826
68	431	819
69	438	813
70	444	807
71	450	800
72	457	795
73	463	788
74	469	782
75	475	776
76	481	769
77	488	763
78	494	757
79	501	752
80	507	746
81	513	739
82	519	732
83	525	726
84	532	719
85	538	713
86	544	707
87	550	700
88	556	694
89	562	687
90	568	681
91	574	674
92	581	668
93	587	662
94	593	655
95	599	649
96	605	643
97	612	637
98	618	630
99	624	624
100	630	618
101	636	611
102	642	605
103	649	599
104	655	592
105	661	586
106	667	580
107	673	573
108	679	567
109	685	561
110	692	554
111	698	548
112	704	542
113	710	536
114	717	529
115	723	523
116	729	517
117	736	511
118	742	505
119	749	499
120	756	493
121	762	487
122	768	481
123	774	474
124	781	468
125	787	462
126	793	456
127	800	450
128	806	443
129	813	437
130	819	431
131	826	425
132	832	419
133	838	412
134	844	406
135	850	400
136	857	394
137	863	387
138	869	381
139	875	375
140	881	368
141	888	362
142	894	356
143	900	350
144	906	343
145	912	337
146	919	331
147	925	325
148	931	318
149	937	312
150	943	306
151	950	300
152	956	293
153	962	287
154	968	281
155	974	274
156	981	268
157	987	262
158	993	256
159	999	249
160	1005	243
161	1011	237
162	1017	231
163	1024	224
164	1030	218
165	1036	212
166	1042	206
167	1049	199
168	1055	193
169	1061	187
170	1067	181
171	1073	174
172	1079	168
173	1085	162
174	1091	155
175	1098	149
176	1104	143
177	1110	137
178	1116	131
179	1122	124
180	1129	118
181	1135	112
182	1141	106
183	1147	99
184	1153	93
185	1159	87
186	1166	81
187	1172	74
188	1178	68
189	1184	62
190	1190	56
191	1197	49
192	1203	43
193	1210	37
194	1216	31
195	1222	24
196	1229	18
197	1235	12
198	1241	6
199	1247	0
